AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Aufnahmerate %.1f%%
AURA_DRAIN_BOOST_PER	Aufnahmerate %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Nicht genug Yang, um zu entwickeln.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Es können keine weiteren Boni übertragen werden.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Ausgerüstete Gegenstände können nicht übertragen werden.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Kann nicht entwickelt werden.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Anzahl der Gegenstände reicht nicht aus, um zu entwickeln.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Kann nicht verbessert werden.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Nur Auragewand, Schild, Halskette, Ohrring und Armband sind möglich.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Seelengebundene Gegenstände können nicht übertragen werden.
AURA_ITEM_NEED_REGISTER	[Aura] Es müssen Gegenstände eingefügt werden.
AURA_LEVEL_STEP	Lvl %d (Stufe %d)
AURA_MAX_LEVEL	[Aura] Auragewand hat das maximale Level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Übertragener Gegenstand wird zerstört.
AURA_OPEN_OTHER_WINDOW	Du kannst das nicht tun, während ein Fenster für Verbesserung, Entwicklung oder Werteübertragung geöffnet ist.
AURA_POSSIBLE_AURAITEM	[Aura] Nur Auragewand ist möglich.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Auragewand muss zuerst eingefügt werden.
AURA_TITLE_ABSORB	Werte auf Auragewand übertragen
AURA_TITLE_EVOLUTION	Auragewand entwickeln
AURA_TITLE_GROWTH	Auragewand verbessern
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl %d (Stufe %d) (Aufnahmerate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Neu
AURA_TOOLTIP_NOW	Aktuell
AURA_TOOLTIP_RESOURCE	Verbrauchsgegenstand
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Liebespunkte: %d%%
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: %s
ATTENDANCE_REWARD_QUESTION	Möchtest du deine Belohnung erhalten?
ATTR_6TH_7TH_ADD_QUESTION1	Du kannst diesen Gegenstand nicht verwenden, während ein Bonus hinzugefügt wird.
ATTR_6TH_7TH_ADD_QUESTION2	Möchtest du den Bonus wirklich hinzufügen?
ATTR_6TH_7TH_CHANGE_FAIL	Du kannst den Bonus nicht ändern.
ATTR_6TH_7TH_POSSIBILITY	Du kannst einen zusätzlichen Bonus hinzufügen.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Erfolgswahrscheinlichkeit: %.1f%%
AUTO_TOOLTIP_CLEAR	Zurücksetzen
AUTO_TOOLTIP_LINE1	Fertigkeiten: Wähle Fertigkeiten für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE2	Hinweis: Du kannst unter der jeweiligen Fertigkeit den Intervall der Aktivierung (in Sekunden) editieren.
