AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Absorption rate %.1f%%
AURA_DRAIN_BOOST_PER	Absorption rate %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Insufficient Yang to evolve.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No further bonuses can be applied.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Equipped items cannot be transmitted.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Cannot be evolved.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Current number of items is not sufficient to evolve.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Cannot be improved.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Soulbound items cannot be transmitted.
AURA_ITEM_NEED_REGISTER	[Aura] Items must be inserted.
AURA_LEVEL_STEP	Lvl%d (Stage %d)
AURA_MAX_LEVEL	[Aura] Aura Outfit has attained maximum level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Transmitted item will be destroyed.
AURA_OPEN_OTHER_WINDOW	You cannot do this while the window for improvement, evolution or transferring stats is open.
AURA_POSSIBLE_AURAITEM	[Aura] Only Aura Outfit can be used.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit must be inserted first.
AURA_TITLE_ABSORB	Transmit values onto Aura Outfit
AURA_TITLE_EVOLUTION	Evolve Aura Outfit
AURA_TITLE_GROWTH	Improve Aura Outfit
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stage %d) (Absorption rate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	New
AURA_TOOLTIP_NOW	Current
AURA_TOOLTIP_RESOURCE	Consumables
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Liebespunkte: %d%%
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: %s
ATTENDANCE_REWARD_QUESTION	Möchtest du deine Belohnung erhalten?
ATTR_6TH_7TH_ADD_QUESTION1	Du kannst diesen Gegenstand nicht verwenden, während ein Bonus hinzugefügt wird.
ATTR_6TH_7TH_ADD_QUESTION2	Möchtest du den Bonus wirklich hinzufügen?
ATTR_6TH_7TH_CHANGE_FAIL	Du kannst den Bonus nicht ändern.
ATTR_6TH_7TH_POSSIBILITY	Du kannst einen zusätzlichen Bonus hinzufügen.
