AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Tasa de absorción %.1f %%
AURA_DRAIN_BOOST_PER	Tasa de absorción %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] No hay suficiente Yang para desarrollar.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No es posible transferir más bonificaciones.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] No se pueden utilizar objetos equipados.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] No se puede desarrollar.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La cantidad de objetos no es suficiente para desarrollar.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] No se puede mejorar.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Solo es posible para Vestimenta del aura, Escudo, Collar, Pendientes y Pulsera.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Los objetos unidos al alma no se pueden transferir.
AURA_ITEM_NEED_REGISTER	[Aura] Tienes que añadir objetos.
AURA_LEVEL_STEP	Nv. %d (evolución %d)
AURA_MAX_LEVEL	[Aura] La Vestimenta del aura ha llegado al nivel máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Se destruirá el objeto transferido.
AURA_OPEN_OTHER_WINDOW	No puedes realizar esta acción mientras esté abierta una ventana de mejora, desarrollo o transferencia de valores.
AURA_POSSIBLE_AURAITEM	[Aura] Solo es posible para la Vestimenta del aura.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Primero tienes que asignar la Vestimenta del aura.
AURA_TITLE_ABSORB	Transferir valores a la Vestimenta del aura
AURA_TITLE_EVOLUTION	Desarrollar la Vestimenta del aura
AURA_TITLE_GROWTH	Mejorar la Vestimenta del aura
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d %% / 100 %%)
AURA_TOOLTIP_LEVEL	Nv. %d (nivel %d) (Tasa de absorción %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuevo
AURA_TOOLTIP_NOW	Novedad
AURA_TOOLTIP_RESOURCE	Objeto de consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No se pueden quitar los atributos.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
ATTENDANCE_REWARD_QUESTION	¿Quieres recibir tu recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	No puedes utilizar este objeto mientras se está añadiendo una bonificación.
ATTR_6TH_7TH_ADD_QUESTION2	¿Seguro que quieres añadir la bonificación?
ATTR_6TH_7TH_CHANGE_FAIL	No puedes modificar la bonificación.
ATTR_6TH_7TH_POSSIBILITY	Puedes añadir una bonificación adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilidad de éxito: %.1f%%
AUTO_TOOLTIP_CLEAR	Reiniciar
AUTO_TOOLTIP_LINE1	Habilidades: selecciona habilidades para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE2	Atención: Debajo de cada habilidad puedes editar su intervalo de activación (en segundos).
AUTO_TOOLTIP_LINE3	Pociones: selecciona pociones para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE4	Atención: Las pociones de HP y de SP se activan cuando se sobrepasa el valor (en porcentaje) introducido debajo de la poción.
AUTO_TOOLTIP_LINE5	Consejo: En la tienda de objetos se puede activar el uso automático de habilidades, pociones y resurrección.
AUTO_TOOLTIP_TITLE	Ayuda de la autocaza
BATTLE_POINT	Puntos de combate
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_DOING_PRIVATE_SHOP_OPEN	No puedes realizar ninguna otra acción mientras tengas abierta una tienda privada.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_BLUE	Si el Alma lobuna escarlata se encuentra activa, no puedes utilizar el Alma lobuna índigo.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	No puedes pescar peces si no tienes equipada una caña.
