ACCEPT	Aceptar
ACCE_ABSORB	Absorción de las bonificaciones
ACCE_COMBINE	Combinación
ACCE_MAIN	Estola 1
ACCE_RESULT	Resultado
ACCE_SERVE	Estola 2
ATTACH_METIN_INFO	¿Quieres usar la Piedra Espíritu?
ATTACH_METIN_TITLE	Usar Piedra Espíritu
ATTENDANCE_TITLE	Evento Cazajefes
ATTR_67_ADD	Añadir bonificación
ATTR_67_ADD_TITLE	Añadir bonificación
ATTR_67_MATERIAL_SLOT_TITLE	Fragmentos
ATTR_67_REGIST_SLOT_TITLE	Objeto objetivo
ATTR_67_SUPPORT_SLOT_TITLE	Ampliación
AURA_MAIN	Vestimenta del aura
AURA_SUB	Material
AUTO_AUTO_ATTACK	Atacar
AUTO_AUTO_POSITION	Pociones
AUTO_AUTO_POTION	Pociones
AUTO_AUTO_RANGE	Alcance
AUTO_CLEAR	Vaciar
AUTO_END	Detener
AUTO_OFF	Apagado
AUTO_ON	Encendido
AUTO_POSITION_SETTING	Pociones
AUTO_POTION_SETTING	Pociones
AUTO_SKILL_SETTING	Habilidades
AUTO_START	Empezar
AUTO_TITLE	Autocaza
BANNER_ATTENDANCE_BUTTON	Evento Cazajefes
BANNER_MONSTERBACK_BUTTON	Canjear puntos de vida
BATTLE_FIELD_INFO	Zona de combate
BATTLE_FIELD_OPERATION_TIME	Se puede acceder a la zona de combate entre las %s:00 y las %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Acceso disponible en cualquier momento.
BATTLE_FIELD_OPERATION_TIME_END	La zona de combate permanecerá abierta %s h más.
BATTLE_FIELD_OPERATION_TIME_NA	Actualmente no se puede acceder.
BATTLE_FIELD_OPERATION_TIME_OPEN	Acceso disponible en %s h durante %s h.
BATTLE_FILED_RANK	Clasificación
BATTLE_FILED_RANK_EMPIRE	Reino
BATTLE_FILED_RANK_NAME	Nombre
BATTLE_FILED_RANK_POINT	Puntos
CANCEL	Cancelar
