AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Taux d'absorption de %.1f %%
AURA_DRAIN_BOOST_PER	Taux d'absorption de %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Vous n'avez pas assez de Yangs pour la progression.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Vous ne pouvez plus transférer de bonus supplémentaires.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Les objets équipés ne peuvent pas être transférés.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] La progression est impossible.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Le nombre d'objets ne suffit pas pour la progression.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] L'amélioration est impossible.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Seuls la tenue d'aura, le bouclier, le collier, les boucles d'oreille et le bracelet sont compatibles.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Les objets liés à l'âme ne peuvent pas être transférés.
AURA_ITEM_NEED_REGISTER	[Aura] Des objets doivent être ajoutés.
AURA_LEVEL_STEP	Niveau %d (rang %d)
AURA_MAX_LEVEL	[Aura] La tenue d'aura a atteint le niveau maximal
AURA_NOTICE_DEL_ABSORDITEM	[Aura] L'objet du transfert sera détruit.
AURA_OPEN_OTHER_WINDOW	Vous ne pouvez pas effectuer cette action pendant qu'une fenêtre d'amélioration, de progression ou de transfert de statistiques est ouverte.
AURA_POSSIBLE_AURAITEM	[Aura] Réservé à la tenue d'aura.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] La tenue d'aura doit d'abord être ajoutée.
AURA_TITLE_ABSORB	Transférer les statistiques à la tenue d'aura
AURA_TITLE_EVOLUTION	Faire progresser la tenue d'aura
AURA_TITLE_GROWTH	Améliorer la tenue d'aura
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d %%/100 %%)
AURA_TOOLTIP_LEVEL	Niveau %d (rang %d) (Taux d'absorption de %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yangs
AURA_TOOLTIP_NEXT	Nouveau
AURA_TOOLTIP_NOW	Actuel
AURA_TOOLTIP_RESOURCE	Objet consommable
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Point d'amour : %d%%
ALIGNMENT_NAME	Points de grade :
ATTACK_ERROR_UNKNOWN	Erreur d'attaque inconnue : %s
ATTENDANCE_REWARD_QUESTION	Souhaitez-vous obtenir votre récompense ?
ATTR_6TH_7TH_ADD_QUESTION1	Vous ne pouvez pas utiliser cet objet pendant qu'un bonus est ajouté.
ATTR_6TH_7TH_ADD_QUESTION2	Voulez-vous vraiment ajouter le bonus ?
ATTR_6TH_7TH_CHANGE_FAIL	Vous ne pouvez pas modifier le bonus.
ATTR_6TH_7TH_POSSIBILITY	Vous pouvez ajouter un bonus supplémentaire.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilité de réussite : %.1f %%
AUTO_TOOLTIP_CLEAR	Redémarrage
AUTO_TOOLTIP_LINE1	Compétences : sélectionnez des compétences de combat et faites les glisser sur les emplacements. (Premium)
AUTO_TOOLTIP_LINE2	Remarque : sous chaque compétence, vous pouvez éditer l'intervalle d'activation (en seconde).
AUTO_TOOLTIP_LINE3	Potions : sélectionnez des potions pour le combat et faites-les glisser sur les emplacements. (Premium)
AUTO_TOOLTIP_LINE4	Remarque : les potions de PV et de PM sont activées dès que le niveau tombe sous la valeur en % indiquée sous les potions.
AUTO_TOOLTIP_LINE5	Remarque : l'utilisation automatique de compétences, de potions et de résurrection peut être activée dans la boutique.
AUTO_TOOLTIP_TITLE	Aide pour la chasse automatique
BATTLE_POINT	Points de combat
CANNOT_ATTACK_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_ATTACK_SELF_IN_SAFE	Je ne peux pas attaquer.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Vous ne pouvez rien faire tant que votre magasin privé est ouvert.
CANNOT_EQUIP_IN_EXCHANGE	Vous ne pouvez pas changer d'équipement pendant un échange.
CANNOT_EQUIP_IN_SHOP	Vous ne pouvez pas changer d'équipement pendant une transaction.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Vous ne pouvez pas ouvrir un magasin dans un espace public.
CANNOT_SHOOT_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_SHOOT_EMPTY_ARROW	J'ai besoin d'une flèche.
CANNOT_SHOOT_SELF_IN_SAFE	Je ne peux pas attaquer l'adversaire d'ici.
CANNOT_SKILL_APPROACH	Je suis sûr que je ne peux pas aller au contact.
CANNOT_SKILL_ATTACK	Je ne peux pas attaquer ça.
CANNOT_SKILL_BLUE	Si Âme du loup pourpre est activée, vous ne pouvez pas utiliser Âme du loup indigo.
CANNOT_SKILL_DEST_IN_SAFE	L'ennemi est trop éloigné.
CANNOT_SKILL_EQUIP_FISHING_ROD	Vous devez d'abord équiper votre canne avant de pêcher.
CANNOT_SKILL_HAVE_TO_RIDE	Je dois avoir un cheval avant de pouvoir utiliser ceci.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
CANNOT_SKILL_NEED_POISON_BOTTLE	Je n'ai pas de fiole de poison.
CANNOT_SKILL_NEED_TARGET	Qui est la cible ?
CANNOT_SKILL_NOT_ENOUGH_HP	Je n'ai pas assez de PV !
CANNOT_SKILL_NOT_ENOUGH_SP	Je n'ai pas assez de PM !
CANNOT_SKILL_NOT_HORSE_SKILL	Je ne peux pas utiliser ceci pendant que je suis à cheval.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Vous ne pouvez pas utiliser cette compétence avec cette arme..
CANNOT_SKILL_NOT_YET_LEARN	Vous n'avez pas appris cette compétence.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ceci n'affecte que les membres du Groupe.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ceci n'affecte que les personnages morts.
CANNOT_SKILL_RED	Si Âme du loup indigo est activée, vous ne pouvez pas utiliser Âme du loup pourpre.
CANNOT_SKILL_REMOVE_FISHING_ROD	Je ne peux pas utiliser cette compétence avec une canne à pêche.
CANNOT_SKILL_SELF_IN_SAFE	Je ne peux pas attaquer d'ici.
CANNOT_SKILL_USE_SELF	Je ne peux pas utiliser ceci sur moi.
CANNOT_SKILL_WAIT_COOLTIME	Je ne peux pas utiliser cette compétence maintenant.
CANNOT_USE	Vous ne pouvez pas utiliser ceci.
CANNOT_WHISPER_DEST_REFUSE	%s a bloqué les chuchotements.	SA
CANNOT_WHISPER_NOT_LOGON	%s n'est pas en ligne.	SA
CANNOT_WHISPER_SELF_REFUSE	Vous ne pouvez pas chuchoter lorsque vous avez bloqué cette option.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armures
CATEGORY_ARMOR_ARMOR_GLOVE	Gants
CATEGORY_ARMOR_ARMOR_HEAD	Casques
CATEGORY_ARMOR_ARMOR_SHIELD	Boucliers
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Coiffures
CATEGORY_COSTUMES_COSTUME_WEAPON	Apparences d'armes
CATEGORY_COSTUMES_ETC	Divers
CATEGORY_COSTUMES_SASH	Étoles
CATEGORY_DRAGON_STONE	Alchimie des pierres-dragons
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grenat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubis
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saphir
CATEGORY_DRAGON_STONE_ETC	Divers
CATEGORY_EQUIPMENT_ARMOR	Équipement
CATEGORY_EQUIPMENT_JEWELRY	Bijoux
CATEGORY_EQUIPMENT_WEAPON	Armes
CATEGORY_ETC	Divers
CATEGORY_ETC_ETC	Divers
CATEGORY_ETC_EVENT	Objets d'évènement
CATEGORY_ETC_GIFTBOX	Coffres | Boîtes
CATEGORY_ETC_MATRIMORY	Mariage
CATEGORY_ETC_PARTI	Livres sur l'Art de guerre
CATEGORY_ETC_POLYMORPH	Orbes de Polymorphie
CATEGORY_ETC_RECIPE	Préparation de potions
CATEGORY_ETC_SEAL	Lien d'âme
CATEGORY_FISHING_PICK	Pêche | Extraction
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pioches
CATEGORY_FISHING_PICK_ETC	Divers
CATEGORY_FISHING_PICK_FISHING_POLE	Cannes à pêche
CATEGORY_FISHING_PICK_FOOD	Poissons
CATEGORY_FISHING_PICK_PICK_BOOK	Livres sur l'extraction
CATEGORY_FISHING_PICK_STONE	Minerais
CATEGORY_JEWELRY_ARMOR_EAR	Boucles d'oreilles
CATEGORY_JEWELRY_ARMOR_FOOTS	Chaussures
CATEGORY_JEWELRY_ARMOR_NECK	Colliers
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Ceintures
CATEGORY_MOUNT_PET	Montures | Familiers
CATEGORY_MOUNT_PET_CHARGED_PET	Familiers
CATEGORY_MOUNT_PET_EGG	Œufs de familiers
CATEGORY_MOUNT_PET_FREE_PET	Familiers pouvant progresser
CATEGORY_MOUNT_PET_MOUNT	Montures
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Denrées consommables
CATEGORY_POTION_ETC	Divers
CATEGORY_POTION_HAIRDYE	Coloration
CATEGORY_SKILL	Compétences
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livres de l'oubli
CATEGORY_SKILL_ETC	Divers
CATEGORY_SKILL_HORSE_SKILL_BOOK	Livre d'aptitude de monture
CATEGORY_SKILL_PAHAE	Parade | Bonus
CATEGORY_SKILL_SKILL_BOOK	Livres de compétence
CATEGORY_TUNING	Améliorations
CATEGORY_TUNING_ETC	Divers
CATEGORY_TUNING_RESOURCE	Matériaux
CATEGORY_TUNING_STONE	Pierres d'Esprit
CATEGORY_UNIQUE	Objets spéciaux
CATEGORY_UNIQUE_ABILITY	Denrées
CATEGORY_UNIQUE_ETC	Divers
CATEGORY_WEAPON_WEAPON_ARROW	Flèches
CATEGORY_WEAPON_WEAPON_BELL	Gongs
CATEGORY_WEAPON_WEAPON_BOW	Arcs
CATEGORY_WEAPON_WEAPON_CLAW	Griffes
CATEGORY_WEAPON_WEAPON_DAGGER	Dagues
CATEGORY_WEAPON_WEAPON_FAN	Éventails
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lances
CATEGORY_WEAPON_WEAPON_QUIVER	Carquois
CATEGORY_WEAPON_WEAPON_SWORD	Armes à une main
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armes à deux mains
CHANGE_ALREADY_REGISTER	[Projection] Cet objet a déjà été enregistré.
CHANGE_LOOK_CHANGE_ITEM	Voulez-vous projeter l'objet ?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projection] Veuillez d'abord enlever l'objet que vous souhaitez projeter.
CHANGE_LOOK_COST	Prix de la projection : %s Yangs
CHANGE_LOOK_DEL_ITEM	L'objet sélectionné va être supprimé.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projection] Cet objet ne peut pas être projeté.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projection] Vous ne pouvez pas projeter l'objet tant qu'il est équipé.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projection] Cet objet ne peut pas être enregistré.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projection] L'objet est lié à l'âme.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projection] Veuillez d'abord enregistrer l'objet que vous souhaitez projeter.
CHANGE_LOOK_INSERT_ITEM	[Projection] Vous devez d'abord enregistrer l'objet.
CHANGE_LOOK_NEED_MONEY	Vous n'avez pas assez de Yangs ou vous n'avez pas assez d'objets.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projection] Cette action est impossible tant que la fenêtre « Projection » est ouverte.
CHANGE_LOOK_TITLE	Projection
CHANGE_LOOK_TITLE2	Transformation de monture
CHANGE_PET_PLEASE_APPEND_FIRST	Commencez par sélectionner un familier.
CHANGE_TOOLTIP2_LINE1	Insérez l'objet cible à gauche et le matériel à droite.
CHANGE_TOOLTIP2_LINE2	Cliquez sur la coche pour utiliser des Yangs ou une marque de transformation et modifiez l'apparence de votre monture.
CHANGE_TOOLTIP2_LINE3	Une marque de transformation modifie l'apparence de votre monture sans utiliser de Yangs. (La transformation détruit la marque.)
CHANGE_TOOLTIP2_LINE4	Si l'apparence d'une monture avec une durée limitée est modifiée, la durée d'origine est conservée.
CHANGE_TOOLTIP2_LINE5	Si la monture cible est permanente et la monture matérielle a une durée limitée, la monture conserve l'apparence modifiée pendant la durée de la monture matérielle.
CHANGE_TOOLTIP_LINE1	Placez l'objet qui doit être soumis à la projection sur le côté gauche.
CHANGE_TOOLTIP_LINE2	Déposez l'autre objet à droite.
CHANGE_TOOLTIP_LINE3	L'apparence de l'objet situé à gauche sera modifiée une fois
CHANGE_TOOLTIP_LINE4	la projection (V) confirmée et les Yangs déduits de votre avoir.
CHANGE_TOOLTIP_LINE5	En utilisant cet objet,
CHANGE_TOOLTIP_LINE6	vous pouvez projeter votre objet sans dépenser de Yangs.
CHANGE_TOOLTIP_TITLE	Projection
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Vous ne pouvez pas retourner à la fenêtre d'enregistrement.
CHANNEL_EMPTY_SERVER	Pas de serveur
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Ce chan est actuellement complet ! Veuillez en sélectionner un autre.
CHANNEL_NOT_FIND_INFO	Aucune information sur ce canal n'a pu être trouvée.
CHANNEL_PVP	Duel libre
CHANNEL_SELECT_CHANNEL	Choisissez un canal.
CHANNEL_SELECT_REGION	Choisissez une région pour émettre une facture.
CHANNEL_SELECT_SERVER	Choisissez le serveur.
CHANNEL_STATUS_BUSY	Très fréquenté
CHANNEL_STATUS_FULL	Bondé
CHANNEL_STATUS_OFFLINE	Inconnu
CHANNEL_STATUS_RECOMMENDED	Recommandé
CHANNEL_STATUS_VACANT	Peu fréquenté
CHANNEL_TEST_SERVER	Test serveur
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Créer un personnage
CHARACTER_NAME	Nom
CHARACTER_SELECT_MODE	Sélectionner un personnage
CHAT_ALL	Tous
CHAT_BLOCK	Bloquer
CHAT_DICE_INFO	Lancer
CHAT_GUILD	Guilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Cette phrase contient des mots invalides
CHAT_LOG	Voir les anciens messages [L]
CHAT_LOG_TITLE	Protocole du tchat
CHAT_NORMAL	Normal
CHAT_NOTICE	Serveur
CHAT_PARTY	Groupe
CHAT_SEND_CHAT	Envoyer discussion
CHAT_SEND_MEMO	Envoyer chuchotement [Shift+Entrée]
CHAT_SHOUT	Général
CHAT_SHOUT_LIMIT	Vous ne pouvez parler qu'une fois toutes les 15 secondes
CHAT_WHISPER	Chuchotement
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Vous ne pouvez pas abandonner d'argent.
GAME_PICK_CHEQUE	Vous avez reçu %d Wons.
CHEQUE_SYSTEM_SELL_PRICE	[Prix de vente]
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_GEM	Gem
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Wons
CHEQUE_SYSTEM_YANG	%s Yangs
COMB_ALREADY_APPEND	Cet objet a déjà été sélectionné.
COMB_CANT_APPEND_ITEM	Cet objet ne peut pas être utilisé.
COMB_CANT_APPEND_SEALED_ITEM	Vous ne pouvez pas utiliser un objet lié à l'âme.
COMB_COST	Prix : %s
COMB_IS_CONTINUE_PROCESS	Voulez-vous continuer ?
COMB_NOTICE	Vous ne pouvez pas ouvrir de magasin privé tant que vous échangez des livres.
COMB_NOTICE_NOT_OPEN	Vous ne pouvez pas échanger de livres tant que votre magasin privé est ouvert.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Il vous faut l'original, le destinataire ainsi que l'objet de transfert pour transférer les bonus.
