AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Taxa de absorção: %.1f%%
AURA_DRAIN_BOOST_PER	Taxa de absorção %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Yang insuficiente para evoluir.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] O item transmitido não pode ser usado.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Itens equipados não podem ser transmitidos.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Não pode ser evoluída.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] A quantidade de itens actual não é suficiente para evoluir.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Não pode ser melhorada.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Apenas Roupas da Aura, Escudos, Colares, Brincos e Braceletes podem ser usados.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Itens vinculados não podem ser transmitidos.
AURA_ITEM_NEED_REGISTER	[Aura] Têm de ser inseridos itens.
AURA_LEVEL_STEP	Nvl%d (Fase %d)
AURA_MAX_LEVEL	[Aura] A Roupa da Aura atingiu o nível máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] O item transmitido será destruído.
AURA_OPEN_OTHER_WINDOW	Não podes fazer isto enquanto a janela de melhoramento, evolução ou transferência de estatísticas está aberta.
AURA_POSSIBLE_AURAITEM	[Aura] Só pode ser usada Roupa da Aura.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai întâi.
AURA_TITLE_ABSORB	Transmitir valores para a Roupa da Aura
AURA_TITLE_EVOLUTION	Evoluir Roupa da Aura
AURA_TITLE_GROWTH	Melhorar Roupa da Aura
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nvl%d (Fase %d) (Taxa de absorção %.1f%%)
