AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_DRAIN_PER	Tasa de absorción %.1f%%
AURA_DRAIN_BOOST_PER	Tasa de absorción %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Yang insuficiente para evolucionar.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No se pueden aplicar más bonificaciones.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Los elementos equipados no se pueden transmitir.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] No puede evolucionar.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La cantidad actual de elementos no es suficiente para evolucionar.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] No se puede mejorar.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Necesitas adjuntar los materiales.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Solo se pueden utilizar escudo, collar, pendiente y brazalete.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Solo se pueden usar el atuendo de aura, el escudo, el collar, el pendiente y el brazalete.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Los objetos unidos al alma no se pueden transferir.
AURA_ITEM_NEED_REGISTER	[Aura] Tienes que añadir objetos.
AURA_LEVEL_STEP	Nv. %d (evolución %d)
AURA_MAX_LEVEL	[Aura] La Vestimenta del aura ha llegado al nivel máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Se destruirá el objeto transferido.
AURA_OPEN_OTHER_WINDOW	No puedes realizar esta acción mientras esté abierta una ventana de mejora, desarrollo o transferencia de valores.
AURA_POSSIBLE_AURAITEM	[Aura] Solo es posible para la Vestimenta del aura.
AURA_POSSIBLE_AURARESOURCE	[Aura] Solo se pueden usar Aura Ice Rune y Aura Fire Rune.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Primero tienes que asignar la Vestimenta del aura.
AURA_TITLE_ABSORB	Transferir valores a la Vestimenta del aura
AURA_TITLE_EVOLUTION	Desarrollar la Vestimenta del aura
AURA_TITLE_GROWTH	Mejorar la Vestimenta del aura
AURA_TOOLTIP_EVOLUTION_PER	Oportunidad: %d%%
AURA_TOOLTIP_EXP	EXP (%d %% / 100 %%)
AURA_TOOLTIP_LEVEL	Nv. %d (nivel %d) (Tasa de absorción %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuevo
AURA_TOOLTIP_NOW	Novedad
AURA_TOOLTIP_RESOURCE	Objeto de consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
ATTENDANCE_REWARD_QUESTION	¿Quieres recibir tu recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	You cannot use this item while a bonus is being added.
ATTR_6TH_7TH_ADD_QUESTION2	Do you really want to add the bonus?
ATTR_6TH_7TH_CHANGE_FAIL	You cannot change the bonus.
ATTR_6TH_7TH_POSSIBILITY	You can add an additional bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Success rate: %.1f%%
AUTO_TOOLTIP_CLEAR	Reiniciar
AUTO_TOOLTIP_LINE1	Habilidades: selecciona habilidades para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE2	Atención: Debajo de cada habilidad puedes editar su intervalo de activación (en segundos).
AUTO_TOOLTIP_LINE3	Pociones: selecciona pociones para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE4	Atención: Las pociones de HP y de SP se activan cuando se sobrepasa el valor (en porcentaje) introducido debajo de la poción.
AUTO_TOOLTIP_LINE5	Atención: La duración de otras pociones se muestra en segundos.
AUTO_TOOLTIP_TITLE	Ayuda de la autocaza
BATTLE_POINT	Puntos de combate
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Özel bir dükkân açtýðýn sürece baþka bir þey yapamazsýn.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir olta kuþanmadan balýk tutamazsýn.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
